Cycle Nr.,Time [s],Temp. [°C],A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
1,0,27.9,12521,12422,12511,12498,12547,12369,12462,12421,12536,12705,12620,12701,13108,12786,12771,12777,12758,12770,12808,12693,12779,12710,12692,12782,12872,12700,12742,12780,12794,12781,12626,12705,12567,12815,12801,12673,13050,12809,12661,12694,12791,12805,11143,12676,12710,12678,12714,12701,12940,12834,12604,12934,12306,12863,12928,12419,10971,9296,12644,12657,12738,12659,12747,12729,12753,12556,12758,12482,12480,10351,8835,12598,12963,12616,12662,12632,12600,12590,12497,12551,12557,12620,12620,12672,12932,12668,12642,12650,12579,12734,12615,12501,12542,12454,12559,12582
2,3600,30,12421,12163,12169,12163,12206,12128,12136,11995,12088,12170,12250,12265,12846,12491,12334,12466,12338,12392,12443,12213,12304,12268,12281,12280,12725,12447,12395,12335,12530,12416,12383,12351,12213,12370,12315,12329,12916,12491,12445,12320,12547,12509,10827,12335,12409,12317,12457,12399,12881,12396,12462,12467,11962,12530,12574,12056,10670,9019,12266,12299,12494,12383,12515,12400,12435,12383,12398,12190,12106,9930,8493,12333,12770,12362,12389,12416,12395,12306,12340,12189,12175,12303,12250,12302,12851,12337,12368,12300,12192,12274,12198,12121,12240,12141,12080,12341
3,7200.006,30,13195,12312,12409,12287,12322,12237,12226,12034,12218,12438,12315,12430,13320,12633,12488,12510,12479,12513,12497,12339,12456,12387,12383,12405,13164,12509,12412,12462,12594,12553,12538,12198,12271,12543,12480,12440,13382,12693,12542,12387,12691,12587,10881,12318,12472,12536,12543,12371,13427,12635,12471,12486,12065,12635,12631,12179,10729,9116,12421,12402,13037,12606,12583,12513,12543,12335,12497,12270,12166,10151,8520,12508,13326,12538,12464,12398,12336,12389,12320,12193,12405,12354,12309,12322,13156,12357,12420,12471,12369,12394,12355,12156,12218,12257,12333,12318
4,10800.02,30,13446,12566,12586,12518,12510,12368,12403,12180,12390,12589,12590,12593,13700,12830,12745,12689,12630,12661,12681,12465,12567,12565,12558,12621,13684,12709,12678,12729,12720,12563,12641,12252,12516,12665,12826,12576,13807,12825,12841,12576,12713,12728,11058,12354,12678,12608,12549,12589,13809,12734,12540,12687,12185,12642,12720,12157,10813,9192,12448,12546,13287,12698,12702,12692,12683,12607,12552,12363,12352,10048,8626,12575,13739,12749,12578,12557,12631,12462,12406,12300,12461,12549,12404,12542,13685,12767,12718,12649,12459,12610,12527,12217,12358,12436,12439,12457
5,14400.036,30,13922,12752,12670,12593,12571,12561,12442,12097,12501,12572,12738,12683,14284,13001,12626,12875,12728,12709,12681,12321,12715,12572,12585,12636,14004,12840,12671,12758,12817,12763,12649,12328,12577,12604,12667,12687,14158,12966,12789,12573,12753,12915,11100,12341,12771,12765,12644,12663,14268,12927,12741,12909,12341,12773,12820,12189,10954,9129,12650,12674,13808,13008,12872,12732,12817,12743,12702,12387,12495,10160,8721,12780,14226,12878,12843,12683,12721,12745,12517,12455,12664,12742,12706,12704,14520,12872,12710,12598,12656,12761,12617,12319,12718,12536,12640,12683
6,18000.042,30,15194,13502,12887,12826,12917,12776,12669,12277,12803,12913,12850,12960,15388,13433,13108,13035,13062,13013,12936,12512,12964,12903,12853,12876,15249,13634,13138,13100,13049,13053,12910,12556,12829,13054,13030,13016,15409,13664,13142,12979,13158,13204,11359,12525,12984,13099,13006,13058,15368,13550,13078,13158,12412,13038,13033,12219,11097,9328,12964,13044,14885,13518,13114,13107,13059,13012,12906,12536,12687,10395,8772,12987,15361,13538,12932,12942,12865,12818,12639,12459,12720,12838,12832,12841,15981,13451,12883,12901,12810,12860,12832,12310,12766,12611,12703,12836
7,21600.048,30.1,17335,13436,13061,12977,12921,12859,12774,12205,12834,12917,13061,13064,17280,13514,13173,13121,13053,13046,12984,12569,12906,12928,12858,12986,16981,13656,13153,13067,13046,13045,12903,12601,13015,13049,13058,12993,17068,13709,13237,12997,13048,13161,11240,12488,13044,13084,13005,12968,17217,13652,13039,13091,12606,13307,13063,12152,11188,9351,13020,13003,16560,13608,13144,13162,13070,12997,12844,12478,12690,10475,8725,13072,17024,13648,13164,12944,12855,12888,12720,12458,12808,12808,12848,12837,17623,13613,13013,12958,12849,12875,12869,12482,12864,12704,12883,12776
8,25200.066,30,19905,13854,13270,12958,13010,12851,12772,12294,12777,12992,12980,13085,19874,14249,13494,13243,13121,13126,12997,12493,12977,13011,13022,13109,19852,13963,13304,13194,13080,13106,12887,12553,12921,13130,13168,13140,19682,14169,13512,13098,13362,13247,11347,12660,13175,13096,13137,13159,19945,14083,13482,13336,12643,13280,13107,12122,11353,9487,13077,13156,18853,14020,13428,13170,13134,13181,12965,12525,12907,10546,8955,13147,19642,14175,13324,13016,13116,13073,12748,12486,12836,12971,13107,12933,20222,14290,13267,13113,12923,13075,12861,12429,12854,12893,12981,13011
9,28800.071,30.1,29171,14844,13809,13061,13080,12957,12744,12168,12947,13051,13066,13127,29889,15158,13774,13309,13170,13091,12873,12414,13112,13043,13037,13111,26004,15128,13804,13239,13269,13092,12874,12502,12949,13232,13225,13179,23885,15081,13929,13158,13353,13312,11188,12497,13081,13201,13134,13151,30739,14965,13718,13326,12651,13224,12972,12177,11231,9443,13025,13002,28488,14900,13872,13362,13118,13000,12802,12326,12962,10473,8862,13160,21891,15329,13575,13136,13147,12965,12735,12322,12897,13039,13095,13051,23158,15426,13427,13125,12921,13088,12818,12432,12953,12949,12992,13002
10,32400.079,30.1,35737,16693,13973,13391,13347,13192,12701,12191,13040,13107,13253,13249,35363,16979,13968,13510,13296,13291,12988,12528,13150,13152,13182,13223,32316,16915,13977,13498,13428,13386,12998,12549,13165,13273,13330,13332,32014,16696,14010,13350,13421,13492,11253,12619,13255,13242,13424,13305,38165,16527,14090,13661,12914,13450,13054,12166,11323,9471,13319,13180,37849,16605,14074,13478,13378,13308,13067,12424,13033,10553,9032,13262,46211,16861,14067,13393,13303,13174,12791,12436,13069,13197,13152,12987,34764,17060,14049,13553,13096,13273,12936,12366,13131,13086,13145,13299
11,36000.085,30,38462,19258,14525,13972,13344,13246,12754,12253,13184,13186,13337,13267,40232,19595,14555,14153,13407,13415,12927,12505,13365,13291,13273,13316,35326,19675,14423,14061,13486,13369,12964,12574,13145,13431,13403,13400,37248,19369,14605,14003,13600,13489,11282,12541,13306,13391,13467,13357,42566,19098,14631,13987,13045,13506,12984,12169,11619,9637,13301,13395,39759,19229,14614,13896,13544,13246,12888,12440,13062,10568,9024,13406,37589,19682,14662,13658,13377,13206,12754,12499,13140,13200,13209,13154,35668,19613,14750,13658,13203,13326,12884,12345,13061,13103,13160,13132
12,39600.092,30,41522,24920,15641,13784,13485,13212,12686,12175,13144,13289,13415,13398,41856,22114,15785,14059,13498,13389,12963,12477,13241,13192,13269,13365,39469,23383,15717,14109,13668,13491,13004,12403,13228,13392,13431,13399,40816,23493,15984,14040,13712,13549,11265,12532,13264,13408,13409,13406,44390,24710,15989,14212,13130,13584,13034,12255,11434,9522,13336,13517,42552,22562,15792,14169,13553,13430,12929,12552,13019,10725,9032,13449,40252,23352,15905,13970,13475,13326,12735,12390,13098,13273,13150,13308,39477,25355,15877,13974,13371,13154,12858,12364,13156,13180,13119,13203
13,43200.097,30,44514,46837,17585,14264,13675,13217,12738,12133,13165,13382,13422,13516,44727,38958,17921,14425,13784,13447,12877,12458,13251,13349,13385,13483,43039,40305,17629,14461,13783,13563,12843,12507,13087,13483,13453,13477,44985,39042,17906,14456,13911,13719,11144,12521,13406,13525,13485,13437,47652,37356,17868,14492,13318,13664,13034,12105,11451,9655,13482,13431,45448,37198,17697,14670,13864,13705,12967,12462,13044,10736,9105,13527,44166,34370,17881,14439,13861,13310,12751,12413,13059,13285,13353,13379,44328,39910,18148,14663,13690,13476,12925,12512,13235,13133,13284,13392
14,46800.107,30,48467,37752,20350,15007,14207,13340,12652,12075,13041,13431,13497,13551,47673,37542,20568,15406,14167,13581,12762,12370,13273,13427,13302,13458,46555,37332,20376,15372,14252,13484,12759,12434,13087,13564,13509,13579,48670,39252,20338,15305,14379,13584,11036,12412,13126,13468,13502,13477,51078,37253,20387,15247,13731,13739,12898,12154,11503,9646,13529,13460,48098,36035,20223,15345,13957,13706,12785,12293,13005,10642,9020,13389,47413,36640,20453,15240,14028,13362,12578,12356,13028,13345,13326,13280,48305,37873,20983,15540,13753,13428,12772,12330,13287,13290,13227,13352
15,50400.126,30,51239,40736,25913,16365,14099,13481,12488,12113,13046,13490,13421,13465,51178,50416,27039,16962,14217,13732,12720,12376,13147,13383,13422,13479,49247,41618,27264,16812,14227,13879,12833,12352,13087,13531,13515,13534,51605,43973,26548,16804,14212,13757,10938,12397,13294,13458,13427,13438,54322,40264,24051,16600,13944,13895,13002,12096,11380,9661,13589,13515,51341,39379,28049,16784,14240,13988,12756,12308,13043,10718,9153,13715,50772,42429,27437,16938,14390,13520,12703,12314,13138,13407,13297,13432,51691,46024,27910,16984,14323,13680,12719,12403,13135,13150,13305,13413
16,54000.139,30,54388,45420,37425,18979,14654,14095,12655,12182,13084,13479,13498,13696,54195,48516,34995,19664,14592,14133,12749,12385,13156,13531,13484,13643,52483,46500,35325,19516,14852,14210,12839,12453,13088,13633,13748,13610,55030,48698,38450,19341,14824,14168,11093,12373,13361,13532,13679,13680,57924,44984,33484,19051,14545,14188,12986,12152,11389,9609,13567,13573,54350,43267,35787,19102,14759,14173,12890,12286,12980,10726,9127,13622,54022,45767,34753,19421,15108,13684,12612,12321,13126,13431,13453,13517,55260,47283,36202,19972,15114,13891,12748,12336,13184,13382,13492,13473
17,57600.144,29.9,57208,49653,39942,21472,15652,14250,12650,12250,13055,13588,13745,13738,57667,52725,40828,22446,15870,14410,12845,12420,13131,13524,13695,13683,54804,51105,39267,22367,15859,14408,12967,12480,13214,13740,13788,13655,58042,52759,39837,22245,15678,14278,11091,12459,13403,13774,13724,13906,60323,48820,37646,22098,15586,14556,13001,12084,11376,9777,13610,13818,57780,47982,39671,22241,15916,14631,12859,12367,13019,10801,9238,13847,57280,49790,38848,21684,16274,14327,12523,12345,13066,13504,13633,13509,59082,51834,39231,22559,16324,14201,12744,12356,13175,13461,13564,13573
18,61200.15,30,59727,53496,41489,37017,17572,14516,12659,12247,13096,13483,13746,13711,59639,55399,44674,40745,17901,14975,12857,12402,13191,13569,13645,13779,57699,55267,41452,39224,17870,14755,12827,12414,13131,13483,13677,13701,60262,56513,43882,39521,17444,14381,11088,12342,13229,13559,13651,13774,62475,51671,41736,35349,17677,15124,12880,12103,11299,9623,13603,13799,60154,50340,42709,36566,17813,15044,12734,12262,12808,10654,9135,13648,59695,52857,42330,34397,18383,14169,12453,12168,12899,13399,13430,13472,60830,54173,43366,33195,18525,14619,12675,12271,12999,13280,13459,13518
19,64800.167,30,61824,55736,45718,37741,20481,15389,12549,12196,12970,13419,13675,13728,62703,57964,48155,40164,20737,16175,12826,12307,13021,13420,13627,13743,60637,59028,45848,39242,20633,15565,12830,12450,13095,13650,13726,13800,63518,59099,48120,38172,19977,14865,11031,12483,13234,13607,13777,13740,65988,54484,46536,36745,20254,16247,12895,11985,11273,9692,13616,13714,62386,53403,47650,36299,20183,16397,12678,12350,12863,10697,9150,13784,62575,56649,46090,37832,21034,14785,12513,12249,12816,13400,13492,13467,63209,56917,47625,36947,21703,15350,12638,12240,13062,13389,13519,13517
20,68400.185,30,63779,58681,49528,45470,25682,17163,12498,12187,13018,13427,13699,13702,64596,60532,52067,53643,28039,18370,12709,12344,13015,13481,13719,13766,62875,61401,50090,54315,27029,17476,12703,12397,13007,13475,13738,13779,65808,62546,51285,54225,22386,15948,10963,12401,13167,13540,13834,13804,68055,57311,50089,41360,27995,18445,12885,12021,11211,9628,13733,13687,64974,55881,51868,42821,24873,19078,12788,12325,12780,10729,9161,13847,64890,59994,50161,48075,26672,15769,12412,12186,12932,13415,13567,13484,65785,59664,52181,40761,29933,16881,12631,12374,12864,13276,13581,13665
21,72000.205,30,OVER,61390,53046,47230,49233,19988,12596,12161,12946,13335,13788,13773,66725,63288,55346,50357,36254,20914,12721,12308,13018,13427,13690,13792,65424,63959,53686,49544,35870,20216,12736,12399,13028,13573,13774,13869,68042,65247,54884,49557,40338,18125,11029,12383,13107,13602,13797,13795,OVER,59496,53753,44633,36871,20958,12813,12098,11244,9603,13748,13880,67465,58473,55660,44603,33728,21876,12723,12259,12757,10801,9224,13788,67215,62367,53892,47977,35278,17862,12527,12335,12903,13333,13631,13700,67574,63544,55673,45120,33930,19396,12565,12359,13013,13352,13567,13702
22,75600.215,30,OVER,64154,55955,50562,40634,25611,12481,12117,12900,13228,13795,13783,OVER,65694,58333,54864,39958,28741,12646,12268,12904,13255,13676,13704,67213,67116,56664,53421,39154,25027,12657,12242,12896,13456,13766,13779,OVER,67850,58279,53664,38768,20682,10931,12346,13000,13413,13824,13810,OVER,62627,56090,47845,40225,28942,12740,12024,11089,9568,13739,13825,OVER,62179,59088,48411,38759,34677,12594,12264,12668,10552,9160,13769,OVER,65721,57113,51379,40430,20352,12532,12319,12703,13273,13527,13571,OVER,66260,59078,48862,37430,22030,12571,12249,12850,13231,13477,13568
23,79200.233,30,OVER,OVER,58413,55452,45192,45266,12573,12286,12880,13506,13641,13901,OVER,OVER,61793,59069,42372,36715,12640,12484,12943,13442,13686,13805,OVER,OVER,59972,58307,41940,46355,12777,12535,12870,13478,13773,13862,OVER,OVER,61420,57431,44104,28103,10936,12544,13079,13447,13751,13891,OVER,66448,59267,51988,44877,37021,12740,12147,11125,9512,13834,13845,OVER,65084,62723,52067,42071,37382,12723,12404,12655,10663,9256,14014,OVER,68421,60181,55783,44118,28529,12443,12281,12927,13275,13585,13721,OVER,68256,62160,52609,42083,36308,12606,12383,12936,13288,13539,13853
24,82800.243,30.1,OVER,OVER,61061,58325,48599,38898,12441,12290,12834,13179,13676,13940,OVER,OVER,64534,61963,46842,41814,12620,12456,12927,13315,13645,13834,OVER,OVER,63128,60977,46637,37692,12641,12515,12745,13387,13808,13961,OVER,OVER,64326,61312,46949,32896,10868,12429,12864,13393,13777,13826,OVER,68437,62034,54888,48511,40648,12735,12241,11056,9513,13733,13841,OVER,67380,65424,55048,46701,41908,12754,12221,12632,10681,9148,13910,OVER,OVER,62751,59316,47420,37828,12475,12273,12753,13292,13512,13724,OVER,OVER,65835,55623,45854,38702,12654,12261,12912,13227,13599,13774
25,86400.262,30.1,OVER,OVER,63764,60692,52163,41757,12446,12162,12741,13118,13567,13901,OVER,OVER,67209,64999,50783,46908,12502,12309,12831,13159,13576,13774,OVER,OVER,65557,64403,50815,41942,12627,12325,12772,13413,13682,13869,OVER,OVER,66969,63713,50413,40271,10839,12329,12892,13171,13627,13895,OVER,OVER,65217,57711,52005,44222,12535,12069,10877,9421,13590,13820,OVER,OVER,67813,58100,50347,45544,12524,12285,12565,10496,9086,13761,OVER,OVER,66577,61821,51616,39665,12579,12287,12700,13219,13537,13761,68854,OVER,68343,58480,49341,42431,12603,12281,12798,13229,13451,13647
