"time","species","dilution","mean_OD","sd_OD","n","se_OD","mean_G","sd_G","se_G","mean_R","sd_R","se_R"
0,"Bs","10^-2",0.2495875,0.0431014894505647,8,0.0152386777348674,4781.375,209.748786817537,74.157394752166,16043.625,666.034520233642,235.478762880768
0,"Bs","10^-3",0.2631125,0.010763488215789,8,0.00380546775330295,4822.125,60.2694841050238,21.3084804546386,16590.875,119.234987075343,42.1559339578326
0,"Bs","10^-4",0.250375,0.0513220016868288,8,0.018145067708412,4745.5,217.740343397491,76.9828366771266,15957.5,750.607373112887,265.379781768372
0,"Bs","10^-5",0.2830875,0.100668443594377,8,0.0355916695585398,4580.75,518.364667556951,183.269585778515,15354.25,1618.09930385711,572.084495195296
0,"Bs","10^-6",0.270975,0.116268798787244,8,0.0411072280314371,4662.5,520.266140684609,183.941858049921,15610.75,1634.71061222294,577.957479590225
0,"Bs","10^-7",0.2304125,0.00401156809382921,8,0.00141830350116911,4835.625,29.0464529430261,10.2694719227148,16212.375,81.5176361286317,28.8208366464265
0,"Pp","10^-1",0.2370375,0.0103558041006688,8,0.00366132965211118,4967.125,59.9819913450219,21.2068364145689,16098.25,240.060557836083,84.8742241706599
0,"Pp","10^-2",0.22845,0.00329761818806934,8,0.00116588409127396,4879.75,24.4233494836396,8.63495801958527,16174.75,55.6102508535971,19.6611927410318
0,"Pp","10^-3",0.230725,0.00456124982872019,8,0.00161264534228701,4868.125,39.1861400424764,13.8543926762804,16239.25,88.5498245541539,31.3070907075606
0,"Pp","10^-4",0.235975,0.0200750555950129,8,0.00709760397196527,4879.625,28.9627223463936,10.239868686379,16239,106.127955116184,37.5218983680578
0,"Pp","10^-5",0.235125,0.00972827249383393,8,0.00343946372481027,4836.125,72.825500831979,25.7477027407994,16170.125,174.847229235778,61.8178307321486
0,"Pp","10^-6",0.23285,0.00644470990148398,8,0.0022785490370597,4870.625,54.665051515048,19.3270143101012,16182,174.231373261452,61.6000927643086
1,"Bs","10^-2",0.2433625,0.0374652577158397,8,0.0132459688948859,4662.875,204.914224215193,72.4481187520717,15830.25,679.444258199302,240.219821205495
1,"Bs","10^-3",0.2641125,0.00876412125820789,8,0.00309858478640999,4688.375,46.9557162197989,16.6013526772455,16550.125,118.835345271154,42.0146392429387
1,"Bs","10^-4",0.247675,0.0476640850116731,8,0.0168517988654031,4618.5,221.456864551864,78.2968253324671,15670.375,684.217997320403,241.907592857568
1,"Bs","10^-5",0.2813375,0.101287609417088,8,0.0358105777344987,4456.25,522.3905900487,184.692964325739,15067.5,1607.37443410942,568.292681132329
1,"Bs","10^-6",0.268375,0.114827158932769,8,0.0405975313728733,4530.625,520.676465900714,184.08692992132,15328.125,1630.31324225044,576.402774526756
1,"Bs","10^-7",0.2279375,0.00202832619242003,8,0.000717121602559247,4735.125,29.5027238451929,10.430788047205,15967.5,105.277863634425,37.2213456423672
1,"Pp","10^-1",0.2373125,0.00984616495320459,8,0.00348114500354614,4901.75,46.3303356344415,16.3802472508812,15945.625,217.995371838159,77.0730028470225
1,"Pp","10^-2",0.225825,0.00143999007933091,8,0.00050911337496812,4761.5,27.5680975041804,9.74679434480896,16059.625,79.8354334150659,28.2260881733801
1,"Pp","10^-3",0.2276625,0.0035528409155813,8,0.00125611895194228,4763.875,27.3205181921155,9.65926183958766,15992.25,140.196545708414,49.5669640846747
1,"Pp","10^-4",0.235725,0.0235844228252463,8,0.00833835265505123,4756.25,29.7453477755046,10.5165685604057,16019.375,91.0587526192372,32.1941307317254
1,"Pp","10^-5",0.230725,0.00952616697013321,8,0.00336800863164825,4730.375,69.9304501425728,24.7241477536205,16026.5,228.593213247588,80.8199056102959
1,"Pp","10^-6",0.2257375,0.00253936859418692,8,0.00089780237644086,4750.625,33.6534332784721,11.8982854407083,15979.75,126.05979306889,44.5688672569926
2.00000166666667,"Bs","10^-2",0.2451875,0.0382397488597551,8,0.0135197928648017,4696.75,222.203092430583,78.5606567291433,15873.625,646.74612760451,228.659286267644
2.00000166666667,"Bs","10^-3",0.2794875,0.0096558549965441,8,0.00341386027310517,4696,61.7275118102594,21.8239710934036,17158.875,317.609570519709,112.291940542117
2.00000166666667,"Bs","10^-4",0.247825,0.0506457655824114,8,0.0179059821408537,4641.875,229.167086579702,81.0228004726359,15753.125,698.12369708281,246.824000157139
2.00000166666667,"Bs","10^-5",0.2816875,0.102475368991773,8,0.0362305141593381,4469.375,517.024160115228,182.795644827379,15172.125,1658.94384969129,586.525222862215
2.00000166666667,"Bs","10^-6",0.2697875,0.115834616556784,8,0.0409537214317227,4569.125,525.58904030213,185.823787257483,15413,1657.155307835,585.892877824705
2.00000166666667,"Bs","10^-7",0.2269375,0.00162299326642384,8,0.000573814772254203,4756.875,30.0829211157617,10.6359187594275,16024.75,85.1582560379707,30.1079901592347
2.00000166666667,"Pp","10^-1",0.264575,0.0102357566542838,8,0.00361888647040968,5090.875,68.0765063313748,24.068679633202,15990.625,197.863544249205,69.9553269441087
2.00000166666667,"Pp","10^-2",0.2364,0.00890810225100081,8,0.00314948975459291,4808.25,29.4120966367824,10.3987464903915,16083.625,66.1684808435471,23.3940907526421
2.00000166666667,"Pp","10^-3",0.2371875,0.0101096046976555,8,0.00357428501841377,4802.375,27.8359351507056,9.84148925286644,16109.5,88.4872872225158,31.2849804219213
2.00000166666667,"Pp","10^-4",0.242875,0.0266766216537466,8,0.00943161003525606,4783.125,27.8231019119005,9.83695201777461,16068.5,101.70124314453,35.9568193412996
2.00000166666667,"Pp","10^-5",0.2356625,0.0121898010648246,8,0.00430974549712625,4769.875,82.0251485826146,29.0002693953004,16006,211.063294501233,74.6221434006977
2.00000166666667,"Pp","10^-6",0.2281125,0.00456396991977066,8,0.00161360703970063,4775.5,53.1574480737581,18.7939960017631,16035.75,147.80851512297,52.2582016802831
3.00000555555556,"Bs","10^-2",0.2481,0.0376925153616167,8,0.0133263166060887,4769.875,209.516066550652,74.0751157127489,16186.75,694.327989600633,245.482014907115
3.00000555555556,"Bs","10^-3",0.30825,0.011838918869559,8,0.00418568990729127,4734.875,34.946643002481,12.3555041233799,18027.875,305.324388385299,107.94847274444
3.00000555555556,"Bs","10^-4",0.2471625,0.0491316871130173,8,0.0173706745643751,4723.875,207.269622541682,73.2808778165998,16053.25,714.535563445635,252.62647115568
3.00000555555556,"Bs","10^-5",0.2815,0.103360299092889,8,0.0365433841970257,4556.375,548.152986335541,193.801346882759,15348.875,1662.09965641569,587.640969029681
3.00000555555556,"Bs","10^-6",0.2689875,0.115566770279597,8,0.0408590234722655,4648.75,533.003283291951,188.445118005217,15681.75,1695.95760981391,599.611563252173
3.00000555555556,"Bs","10^-7",0.226325,0.00104026095627148,8,0.000367787788191584,4838.75,31.9318470675102,11.2896127986241,16246.875,87.7340746639688,31.0186795680096
3.00000555555556,"Pp","10^-1",0.290525,0.0124434434829868,8,0.00439942163406574,5237.75,63.7444675470518,22.5370726328231,16178.375,190.213367038176,67.2505808525101
3.00000555555556,"Pp","10^-2",0.243825,0.0136387839843378,8,0.00482203832123186,4883.625,42.4261964222241,14.9999255950536,16337.625,71.3741399748036,25.2345691887707
3.00000555555556,"Pp","10^-3",0.2436375,0.0148814301828055,8,0.00526138009800796,4866.625,44.30071750467,15.6626688794909,16400.75,97.6667072972449,34.5303955130218
3.00000555555556,"Pp","10^-4",0.2492125,0.0294180914938896,8,0.0104008659924478,4857.25,44.4931776471726,15.7307138154267,16308.625,127.817881042856,45.1904452211495
3.00000555555556,"Pp","10^-5",0.2408625,0.0145022104226513,8,0.0051273056660255,4837.375,78.5383209468019,27.7674896622445,16275.875,193.382993416839,68.3712130056001
3.00000555555556,"Pp","10^-6",0.233225,0.00873151107851817,8,0.00308705534681283,4849.5,25.1282425057657,8.88417533756349,16232.75,138.213861202744,48.8659792552183
4.00001,"Bs","10^-2",0.252575,0.0376085381643204,8,0.013296626183252,4800.375,211.345308170573,74.7218502896862,16269,693.363850061011,245.141140103877
4.00001,"Bs","10^-3",0.317025,0.0135855753335241,8,0.00480322622232778,4739.5,31.0345429665535,10.9723678913376,18298.625,236.561038634852,83.6369572916184
4.00001,"Bs","10^-4",0.2466375,0.0480877453204036,8,0.0170015854040145,4791.5,231.894680527913,81.9871505611877,16060.375,648.377521752787,229.236071200162
4.00001,"Bs","10^-5",0.2811875,0.103095939195351,8,0.0364499188589142,4598.125,546.23057337146,193.121671261188,15391.25,1679.67860446149,593.85606571434
4.00001,"Bs","10^-6",0.268025,0.115674725600959,8,0.0408971914421656,4684,548.67997438007,193.987665292704,15718.375,1699.42149295408,600.836230880999
4.00001,"Bs","10^-7",0.226375,0.0019818822222466,8,0.000700701179431818,4891.625,44.0744094847404,15.5826569117263,16295.75,37.1896683041329,13.1485333239654
4.00001,"Pp","10^-1",0.352525,0.0169956086765292,8,0.00600885507278336,5451.375,59.7493275515059,21.124577341503,16115.25,215.826484539251,76.3061853886789
4.00001,"Pp","10^-2",0.2525125,0.018448185160451,8,0.00652241841376998,4972,32.7937276232601,11.5943335913959,16335.875,88.499293782493,31.2892253819106
4.00001,"Pp","10^-3",0.250175,0.0196947237314247,8,0.00696313635204301,4922.125,34.0731880348338,12.0466911580377,16374.25,106.45689939394,37.6381977327745
4.00001,"Pp","10^-4",0.2536625,0.0322875888362253,8,0.011415386507129,4923,41.4487635521254,14.6543508897528,16317.75,128.876186429346,45.564612678826
4.00001,"Pp","10^-5",0.2452,0.0175340485097669,8,0.00619922230145501,4887.75,85.7550498304827,30.3189886280623,16297.125,171.831676357999,60.7516717876965
4.00001,"Pp","10^-6",0.2365625,0.0124087454759018,8,0.00438715403601404,4890,45.4218323842495,16.0590428464108,16346,127.01630941396,44.90704685395
5.00001166666667,"Bs","10^-2",0.2616875,0.0385633592749831,8,0.0136342064243369,4826.625,227.6607359961,80.4902251163811,16574.375,738.497884221749,261.098430912558
5.00001166666667,"Bs","10^-3",0.3208,0.0120991144894398,8,0.00427768295091764,4755.875,46.6458924849154,16.4918134452911,18659,219.5072403622,77.6075290898285
5.00001166666667,"Bs","10^-4",0.2469375,0.0476419064480002,8,0.016843957559018,4817.5,228.476944757484,80.7787984914005,16212.75,725.693904381967,256.571540427115
5.00001166666667,"Bs","10^-5",0.2811625,0.103783647727926,8,0.0366930605423462,4637.625,566.165280638084,200.169654605787,15570.25,1731.5764699916,612.204732037062
5.00001166666667,"Bs","10^-6",0.2677875,0.115881126745102,8,0.0409701652664995,4729.375,560.314436595331,198.101068856639,15830.875,1728.2916782187,611.043382768359
5.00001166666667,"Bs","10^-7",0.225675,0.00108199551094923,8,0.000382543181502801,4931.875,32.647194147649,11.5425261842582,16442.25,132.414662545894,46.8156529073648
5.00001166666667,"Pp","10^-1",0.46515,0.0187670684216491,8,0.00663516067196998,5878.5,102.704847569556,36.3116470885818,16285.625,230.768862408131,81.5891137477473
5.00001166666667,"Pp","10^-2",0.29375,0.0267784028116476,8,0.00946759510873047,5151.25,33.2640947569598,11.7606334863391,16490.25,75.2818513511533,26.6161537953391
5.00001166666667,"Pp","10^-3",0.25505,0.0222520625047272,8,0.00786729214623976,4977,37.5689841681748,13.2826417338032,16564.375,136.577489778827,48.2874345900226
5.00001166666667,"Pp","10^-4",0.2586375,0.0348842140925827,8,0.0123334321706143,4964.75,19.8620240660412,7.02228595259407,16596.5,115.956888540526,40.9969511061493
5.00001166666667,"Pp","10^-5",0.248475,0.0193870170106551,8,0.00685434559760657,4916.625,69.8425525224926,24.6930712520161,16447.125,276.059743792638,97.6018584241977
5.00001166666667,"Pp","10^-6",0.24025,0.0157614357576604,8,0.00557250905273891,4962.125,42.3571127439064,14.9755008263497,16442.5,125.623018818777,44.4144442399413
6.00001333333333,"Bs","10^-2",0.280025,0.0464340007814471,8,0.0164168984150913,4855.375,223.97827541336,79.1882786916274,16927.625,775.699120149043,274.251054008914
6.00001333333333,"Bs","10^-3",0.325925,0.0109721400438956,8,0.00387923731458352,4761.75,46.4042793593128,16.4063903055225,18885.5,222.991351529926,78.8393484063818
6.00001333333333,"Bs","10^-4",0.2463375,0.0438336771215922,8,0.0154975451685097,4859.75,231.36782712506,81.8008797542632,16216.125,695.701585759707,245.967654486462
6.00001333333333,"Bs","10^-5",0.28125,0.103882406045077,8,0.0367279768802242,4685.75,563.739491508014,199.312008633986,15561,1722.26395853166,608.912262035462
6.00001333333333,"Bs","10^-6",0.267625,0.116056953383119,8,0.0410323293705272,4765.25,564.932043953708,199.733639594622,15833.25,1693.45958237652,598.728377181888
6.00001333333333,"Bs","10^-7",0.224975,0.00142001006032654,8,0.000502049371505008,4973.75,34.5656724842106,12.2208107049293,16450.125,136.312076291344,48.1935967516136
6.00001333333333,"Pp","10^-1",0.6280625,0.032581894073681,8,0.0115194391217008,6589.375,163.662490248333,57.8634283402368,16436.625,212.943948023887,75.2870548301632
6.00001333333333,"Pp","10^-2",0.3080625,0.025715639349292,8,0.00909185148321601,5224.5,33.1058907144937,11.7046999107196,16452.625,117.007859931349,41.3685256047915
6.00001333333333,"Pp","10^-3",0.2629,0.0270506403409816,8,0.00956384561027325,5026.125,44.0306305720396,15.5671787287045,16549.625,68.9843408732321,24.3896476135734
6.00001333333333,"Pp","10^-4",0.263925,0.0378937141413793,8,0.0133974511168569,5003.75,24.921304712463,8.81101177909941,16472.375,122.930802254183,43.4626019453178
6.00001333333333,"Pp","10^-5",0.25225,0.0214750353400674,8,0.0075925715575912,4974,75.3828324525646,26.6518560061289,16433,217.933803842228,77.0512352733092
6.00001333333333,"Pp","10^-6",0.2441,0.0192460756667802,8,0.00680451530760484,4978.875,39.6716433452698,14.0260440151272,16448.875,131.745899909094,46.5792096096224
7.00001833333333,"Bs","10^-2",0.2948375,0.0405465142944319,8,0.014335357605535,4866.5,213.691366227089,75.5513070700964,17321.125,768.609028886413,271.744328203395
7.00001833333333,"Bs","10^-3",0.33165,0.00994872569011442,8,0.00351740569982236,4760.125,47.8134395332526,16.9046036629079,19337.625,292.745592866668,103.501196939249
7.00001833333333,"Bs","10^-4",0.2480125,0.0447484217598789,8,0.015820956236903,4882.875,244.789960986965,86.5463206901368,16371.25,736.014508785565,260.22042510698
7.00001833333333,"Bs","10^-5",0.280975,0.103686185193593,8,0.0366586023328768,4719,567.589892188265,200.673330849632,15637.25,1760.58300003152,622.460089082023
7.00001833333333,"Bs","10^-6",0.2673125,0.115863915712726,8,0.0409640802476476,4801,562.067865754915,198.720999681175,15943.75,1757.35261523853,621.31797558554
7.00001833333333,"Bs","10^-7",0.2245875,0.00123801396253378,8,0.000437704034055631,5009,32.3154098579256,11.4252227236809,16575.25,84.4710432210775,29.8650237377629
7.00001833333333,"Pp","10^-1",0.7853625,0.03145154720246,8,0.0111198011528341,7549.875,143.714436594638,50.8107263352364,16670.625,258.911423077469,91.5390114923686
7.00001833333333,"Pp","10^-2",0.361575,0.0293506266664663,8,0.0103770135739665,5401.375,41.6788315575185,14.7356922131266,16448.375,70.2199351018946,24.8264961425145
7.00001833333333,"Pp","10^-3",0.2748625,0.0300190386017179,8,0.0106133328799877,5139.25,41.4582406076972,14.6577015348831,16641.875,108.181642884284,38.2479866416895
7.00001833333333,"Pp","10^-4",0.2685625,0.0403944457815675,8,0.0142815932672094,5049.5,58.5247200518111,20.69161320784,16643.5,70.9224929059886,25.0748878362397
7.00001833333333,"Pp","10^-5",0.2561625,0.0241651423985636,8,0.00854366802918144,5009.125,85.7778484558472,30.3270491593608,16567.25,157.365588905035,55.6371375200825
7.00001833333333,"Pp","10^-6",0.2463375,0.02101454853191,8,0.00742976488524368,5032,36.3042697213427,12.8354976529934,16629.5,142.480073794799,50.3743131821311
8.00001972222222,"Bs","10^-2",0.3180375,0.03857074900195,8,0.0136368190873616,4876.5,211.658755007745,74.8326704817393,17615.625,605.623394882142,214.120204683191
8.00001972222222,"Bs","10^-3",0.3413875,0.0126855865904126,8,0.00448503215070496,4760.125,51.016628941664,18.0371021389642,19899.875,433.269773269001,153.183997380834
8.00001972222222,"Bs","10^-4",0.2506875,0.0451361571090343,8,0.0159580413842498,4916.875,259.923305996211,91.8967661291734,16430.625,803.838636525658,284.199875433521
8.00001972222222,"Bs","10^-5",0.28155,0.104702108042634,8,0.0370177853007366,4723.625,562.570614615242,198.898748245361,15709.375,1734.15800379979,613.117442067878
8.00001972222222,"Bs","10^-6",0.2668375,0.115842823780451,8,0.0409566231234775,4825.375,567.864907853469,200.770563570531,15981.375,1730.70546619414,611.896785691252
8.00001972222222,"Bs","10^-7",0.224525,0.000903564370384629,8,0.000319458246768762,5036,30.3926682888207,10.7454309226892,16637.5,80.4540685289261,28.4448087154254
8.00001972222222,"Pp","10^-1",1.1574125,0.101747410461959,8,0.035973141952911,10929.75,1748.9453760971,618.345567681558,15292,803.826207229256,284.195481013635
8.00001972222222,"Pp","10^-2",0.4789125,0.0252092634617855,8,0.00891282057127339,5845.875,56.5898463886033,20.0075320638432,16474.125,84.922548747163,30.0246550473821
8.00001972222222,"Pp","10^-3",0.3112,0.0349412568258703,8,0.0123535998223768,5283,64.333950157418,22.7454862084138,16603,79.3905356000143,28.0687930424011
8.00001972222222,"Pp","10^-4",0.27505,0.0438672347625684,8,0.0155094095862572,5074.375,22.3283132239892,7.89425084657002,16657.75,99.3518279363078,35.1261756285212
8.00001972222222,"Pp","10^-5",0.26005,0.0257598802126762,8,0.00910749299046826,5049.25,91.7913005526278,32.4531255373478,16618.5,238.008403212996,84.1486779456457
8.00001972222222,"Pp","10^-6",0.248575,0.0228703020156209,8,0.00808587282151496,5072,54.2560069090445,19.1823952027448,16672.25,87.8988867148742,31.0769494274178
9.00002194444444,"Bs","10^-2",0.3293125,0.0380595562431904,8,0.0134560851542554,4877.875,210.06491343664,74.2691623902064,18008.625,594.845463124667,210.309630366752
9.00002194444444,"Bs","10^-3",0.359575,0.0219568895793553,8,0.00776293275766318,4767.5,59.6250187181762,21.0806275319986,20509.875,437.899674583117,154.820914688552
9.00002194444444,"Bs","10^-4",0.2550125,0.0454474402076572,8,0.0160680965792023,4947.375,236.400348984514,83.5801449209081,16573.875,709.933887767023,250.999533117096
9.00002194444444,"Bs","10^-5",0.2813375,0.103986028422778,8,0.0367646129232018,4768.625,573.53488809064,202.77520430798,15828.125,1750.6298815406,618.941130292581
9.00002194444444,"Bs","10^-6",0.2671375,0.115581584513154,8,0.0408642610947687,4893.375,578.91078451569,204.675870716534,16142.75,1770.00643663075,625.79177704272
9.00002194444444,"Bs","10^-7",0.2241625,0.00112114418596106,8,0.000396384328290468,5075.875,46.8506365256348,16.5642013950912,16668.125,116.081790746254,41.0411107044771
9.00002194444444,"Pp","10^-1",1.2849,0.0840971716867712,8,0.0297328401891626,14264.5,1441.96116452559,509.810258821848,14616.625,246.440336158094,87.1298164276402
9.00002194444444,"Pp","10^-2",0.6132375,0.0303958144440034,8,0.0107465432565214,6477.75,52.4097864361773,18.5296576947799,16591.125,141.847440683896,50.1506436007697
9.00002194444444,"Pp","10^-3",0.3366875,0.0364626007026378,8,0.0128914761082663,5378,31.8164378000699,11.2488094608147,16678.5,159.967853913573,56.5571771370733
9.00002194444444,"Pp","10^-4",0.2831375,0.0466392519389899,8,0.0164894656577638,5168.125,38.9484549482665,13.770358305329,16724.75,133.183814975501,47.0875893567357
9.00002194444444,"Pp","10^-5",0.2617875,0.0267594809633627,8,0.00946090522511305,5076.25,79.1341537246358,27.9781483610743,16736.5,141.422366386246,50.0003571415816
9.00002194444444,"Pp","10^-6",0.252625,0.0263882414289828,8,0.00932965222901077,5093.25,34.0451381047489,12.0367740101502,16688.625,102.988123448428,36.4118002360302
10.0000236111111,"Bs","10^-2",0.332125,0.043664361080536,8,0.0154376829081125,4880.5,232.792366099676,82.3045303387712,18204.125,652.011489272127,230.52087273793
10.0000236111111,"Bs","10^-3",0.3721375,0.0233211086173633,8,0.00824525702406281,4762,59.9952379062586,21.2115197812078,20989.75,591.161991335708,209.007326426611
10.0000236111111,"Bs","10^-4",0.264975,0.0499643801694196,8,0.0176650760177896,4963.625,232.399248523496,82.1655422868109,16709.25,734.589049352474,259.716449091257
10.0000236111111,"Bs","10^-5",0.2817125,0.103738812649847,8,0.0366772089484737,4799.875,588.95753848886,208.227934648205,15826.375,1746.68681774545,617.547046718478
10.0000236111111,"Bs","10^-6",0.2667125,0.115448930422565,8,0.0408173607912649,4904.125,590.696547064807,208.842767026502,16088.625,1785.33573773354,631.211503423038
10.0000236111111,"Bs","10^-7",0.2238625,0.00105144458450539,8,0.000371741797872815,5118.625,48.3674551148364,17.1004777502184,16801.875,96.626582411733,34.1626558331086
10.0000236111111,"Pp","10^-1",1.3886875,0.0513324302255128,8,0.0181487547536227,15255.875,1106.66596295876,391.265503458238,14677,260.054939250481,91.9433055125354
10.0000236111111,"Pp","10^-2",0.7925875,0.0271674404651703,8,0.00960514069020186,7475.5,100.993634877225,35.7066420391821,16812.375,107.867560991642,38.136941923622
10.0000236111111,"Pp","10^-3",0.4015625,0.0382383478984121,8,0.0135192975501688,5605.25,33.8008875623111,11.9504184027171,16607.5,94.2761899951414,33.3316666249979
10.0000236111111,"Pp","10^-4",0.3176125,0.0504837579962959,8,0.0178487038094807,5330.875,58.6817993199644,20.7471491156875,16823.375,98.4493161842319,34.8070895385244
10.0000236111111,"Pp","10^-5",0.2658125,0.028614204140102,8,0.0101166488928611,5128.75,73.0650395195951,25.8323924559844,16740.625,213.868409141162,75.6139011926473
10.0000236111111,"Pp","10^-6",0.255175,0.0284886819631937,8,0.0100722701016206,5131.375,39.0418731254388,13.8033866186113,16806.5,139.592263395935,49.353318024222
11.0000255555556,"Bs","10^-2",0.338,0.0372822439545384,8,0.0131812637590526,4877.625,231.390787259501,81.8089973876433,18624.375,669.191823342583,236.595038100065
11.0000255555556,"Bs","10^-3",0.3945,0.0248679943472959,8,0.00879216371874084,4748.625,76.9172793144873,27.1943648968469,21591.25,621.15853738915,219.612706989893
11.0000255555556,"Bs","10^-4",0.282525,0.0543995470044164,8,0.0192331442901496,4971.5,253.586277231241,89.6562881230313,17026,669.164724542043,236.585457227253
11.0000255555556,"Bs","10^-5",0.28325,0.105480573702324,8,0.0372930144741804,4803,586.942440594841,207.515489955397,15839.625,1750.34559342679,618.840619266036
11.0000255555556,"Bs","10^-6",0.2667375,0.115561658712073,8,0.0408572162602363,4902.75,590.744264224618,208.859637590143,16163.125,1749.01339025341,618.369614317128
11.0000255555556,"Bs","10^-7",0.223925,0.000945289071433404,8,0.000334210156296047,5123.25,63.6861725292749,22.5164622316334,16798.125,102.699892196355,36.3098950995849
11.0000255555556,"Pp","10^-1",1.4593875,0.0506159330504875,8,0.017895434748042,16201.875,693.715552555327,245.265485713222,14677.875,253.871979830105,89.7572992455608
11.0000255555556,"Pp","10^-2",1.1073375,0.0437740933658254,8,0.0154764791296341,9375.875,627.873380661147,221.98676259601,16215.625,345.184396891202,122.041113900779
11.0000255555556,"Pp","10^-3",0.51895,0.0416694818096615,8,0.0147323865780706,6086.75,36.3150893470705,12.8393229683545,16659.375,109.298983788244,38.643026306733
11.0000255555556,"Pp","10^-4",0.3314125,0.0522066617943944,8,0.0184578422889645,5375,47.1683913532902,16.6765446917862,16767.25,141.759101496669,50.1194109816033
11.0000255555556,"Pp","10^-5",0.2705875,0.0306794690538896,8,0.0108468303056041,5149.125,79.7432263133186,28.1934880399205,16701,260.952102884801,92.2605007573664
11.0000255555556,"Pp","10^-6",0.25805,0.0308158586259923,8,0.0108950513012626,5142.125,35.6508364958965,12.6044741206106,16774.625,124.100117992346,43.8760174892194
12.0000269444444,"Bs","10^-2",0.3553125,0.0348667437743844,8,0.0123272554803805,4874.25,213.073930831531,75.3330106925244,19120.375,677.042715997827,239.370747817511
12.0000269444444,"Bs","10^-3",0.4191125,0.0260894306733041,8,0.00922400667319483,4751,62.0736889281027,21.9463631871629,22352.875,766.291335403374,270.92489981411
12.0000269444444,"Bs","10^-4",0.3004375,0.0497409557464614,8,0.0175860835555114,4981.375,231.48646211573,81.8428235574576,17411.875,759.077153522618,268.374301349813
12.0000269444444,"Bs","10^-5",0.2843375,0.104809499807985,8,0.0370557540234982,4838.5,598.298301136529,211.530392953015,15907.625,1782.22372633581,630.111241241803
12.0000269444444,"Bs","10^-6",0.2669,0.115499251698256,8,0.0408351520489044,4952.625,587.680656114721,207.776488555439,16124.75,1740.06015905855,615.204169071421
12.0000269444444,"Bs","10^-7",0.223525,0.0010525479290071,8,0.00037213188906239,5172,50.0171399193745,17.683729406273,16833.625,106.674320781928,37.7150678016852
